발행일,설교 제목,영상 링크
최신 영상,에메트 스쿨 : 첫 회차 운영 오픈영상 l 인천성산교회 인천이단상담소 l 20260809,https://www.youtube.com/watch?v=ceBz3IUAfqw
최신 영상,하나님의 섭리 | 창42:1-5 | 인천성산교회:인천이단상담소 | 20260729수요예배,https://www.youtube.com/watch?v=cSIRuriJpP0
최신 영상,l 인천성산교회 인천이단상담소 l 20260802 주일3부예배 l 여호수아 찬양단,https://www.youtube.com/watch?v=u_2UeJOjuUA
최신 영상,l 인천성산교회 인천이단상담소 l 20260802 주일2부예배 l 타미드찬양단,https://www.youtube.com/watch?v=w63No6ZKiUI
최신 영상,l 인천성산교회 인천이단상담소 l 20260802 주일1부예배 l 햅시바찬양대,https://www.youtube.com/watch?v=YDzqGR2pifI
최신 영상,l 인천성산교회 인천이단상담소 l 20260802 주일1부예배 l 성산찬양단,https://www.youtube.com/watch?v=aZXhwsmZ2VY
최신 영상,복음의 본질 l 롬1:2 l 인천성산교회 인천이단상담소 l 20260726 주일대예배,https://www.youtube.com/watch?v=LQM492gujQc
최신 영상,2026년 청년부 하계 수양회 보고 l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=ahh6KLR3yzw
최신 영상,2026년 학생부 하계 수양회 보고 l 인천성산교회 인천이단상담소 l,https://www.youtube.com/watch?v=-O1W_nhIb2I
최신 영상,l 인천성산교회 인천이단상담소 l 20260726 주일3부예배 l 여호수아 찬양단,https://www.youtube.com/watch?v=-0yTMThuny0
최신 영상,l 인천성산교회 인천이단상담소 l 20260726 주일2부예배 l 타미드찬양대,https://www.youtube.com/watch?v=0GP9tjH0XiM
최신 영상,l 인천성산교회 인천이단상담소 l 20260726 주일2부예배 l 타미드찬양단,https://www.youtube.com/watch?v=_llwebGSiKI
최신 영상,l 인천성산교회 인천이단상담소 l 20260726 주일1부예배 l 햅시바찬양대,https://www.youtube.com/watch?v=m9EkqU3it_s
최신 영상,l 인천성산교회 인천이단상담소 l 20260726 주일1부예배 l 성산찬양단,https://www.youtube.com/watch?v=WdT9FL4jkH4
최신 영상,생명수 샘의 역사 l 슥13:1 l 인천성산교회 인천이단상담소 l 20260719 주일대예배,https://www.youtube.com/watch?v=whiv-j2I7Eo
최신 영상,그날이 오면 l 슥13:1 l 인천성산교회 인천이단상담소 l 20260715 주일대예배,https://www.youtube.com/watch?v=xLxuA46LCNE
최신 영상,왜 아라랏산인가 l 창8:1~5 l 인천성산교회 인천이단상담소 l 20260712 주일대예배,https://www.youtube.com/watch?v=hzAhCA4Ylg8
최신 영상,14년만에 다시 복음이 있는 성산교회로 - 양선대목장 이정석 집사,https://www.youtube.com/watch?v=wp5XR6OqJcg
최신 영상,당신은 의인입니까? 죄인입니까? - 장정용 집사,https://www.youtube.com/watch?v=oT232Su6POc
최신 영상,뉴질랜드에서 인천성산교회 수양회로 - 이규동 청년,https://www.youtube.com/watch?v=L3lJ9GOWq6E
최신 영상,저도 구원 상담을 받아버렸습니다 - 온유대목장 서동화 집사,https://www.youtube.com/watch?v=c_2BUK8l5Nc
최신 영상,나의 행위로 하나님께 나아가는 줄 알았습니다 - 충성대목장 김예은 집사,https://www.youtube.com/watch?v=tgFM2EBOzX8
최신 영상,대전에서 인천성산교회 수양회로 - 충성대목장 김은규 집사,https://www.youtube.com/watch?v=4avnG5nfs8E
최신 영상,태국에서 인천성산교회 수양회로 - 화평대목장 유리 집사,https://www.youtube.com/watch?v=PMePf2OdS-E
최신 영상,기록된 말씀으로 구원의 확신을 주셨습니다 - 사랑대목장 이재민 집사,https://www.youtube.com/watch?v=wHb_iENVqh0
최신 영상,하나님께 벌을 받지 않기 위해 노력한 신앙생활 - 인내대목장 이세원 집사,https://www.youtube.com/watch?v=ULBfthoDD1Q
최신 영상,오직 하나님의 은혜의 선물임을 고백합니다 - 인내대목장 배현경 집사,https://www.youtube.com/watch?v=nxrCYftDrTo
최신 영상,2026 여름성경학교 활동영상 - 소년부  l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=KCk1wp660zg
최신 영상,2026년 청년부 하계 수양회 홍보영상 l 인천성산교회 인천이단상담소 l 20260726,https://www.youtube.com/watch?v=RZep1Jcw_fw
최신 영상,l 인천성산교회 인천이단상담소 l 20260719 주일3부예배 l 여호수아 찬양단,https://www.youtube.com/watch?v=edETePuqFS8
최신 영상,l 인천성산교회 인천이단상담소 l 20260719 주일2부예배 l 타미드찬양대,https://www.youtube.com/watch?v=EjwIx-QWHmk
최신 영상,l 인천성산교회 인천이단상담소 l 20260719 주일2부예배 l 타미드찬양단,https://www.youtube.com/watch?v=BSgeQkQKyoo
최신 영상,l 인천성산교회 인천이단상담소 l 20260719 주일1부예배 l 햅시바찬양대,https://www.youtube.com/watch?v=4NZ1E7OwiP4
최신 영상,l 인천성산교회 인천이단상담소 l 20260719 주일1부예배 l 성산찬양단,https://www.youtube.com/watch?v=UlWjkKEQhfM
최신 영상,l 인천성산교회 인천이단상담소 l 20260712 주일3부예배 l 여호수아 찬양단,https://www.youtube.com/watch?v=zMldhrdiyLY
최신 영상,l 인천성산교회 인천이단상담소 l 20260712 주일2부예배 l 타미드찬양대,https://www.youtube.com/watch?v=T6IiS8ciSxo
최신 영상,l 인천성산교회 인천이단상담소 l 20260712 주일2부예배 l 타미드찬양단,https://www.youtube.com/watch?v=KhPbvKaA5Ec
최신 영상,l 인천성산교회 인천이단상담소 l 20260712 주일1부예배 l 햅시바찬양대,https://www.youtube.com/watch?v=AXK9M2rkeS4
최신 영상,l 인천성산교회 인천이단상담소 l 20260712 주일1부예배 l 성산찬양단,https://www.youtube.com/watch?v=gsoLq48kH5c
최신 영상,2026 여름성경학교 활동영상 - 유년부  l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=kCEh0na6Wkw
최신 영상,2026 여름성경학교 활동영상 - 유치부  l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=oRj7TFbFMTA
최신 영상,2026 여름성경학교 활동영상 - 유아부  l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=Xz004cwIc-U
최신 영상,2026 여름성경학교 활동영상 - 영아부  l 인천성산교회 인천이단상담소,https://www.youtube.com/watch?v=Zl98FcybUbk
최신 영상,2026년 학생부 하계 수양회 홍보영상 l 인천성산교회 인천이단상담소 l 20260719,https://www.youtube.com/watch?v=NeK__eQlC5g
최신 영상,바울의 정체성 l 롬1:1 l 인천성산교회 인천이단상담소 l 20260628 주일대예배,https://www.youtube.com/watch?v=0VCybLtCpvg
최신 영상,요셉의 복과 그리스도의 구속사 | 창41:45-52 | 인천성산교회:인천이단상담소 | 20260624수요예배,https://www.youtube.com/watch?v=dFfmj80ieO0
최신 영상,성도의 정체성(나는 누구인가?) l 롬1:1 l 인천성산교회 인천이단상담소 l 20260621 주일대예배,https://www.youtube.com/watch?v=cFj6IJ0qpjU
최신 영상,복음의 일꾼 가이오 l 요삼1:1~8 l 인천성산교회 인천이단상담소 l 20260614 주일대예배,https://www.youtube.com/watch?v=84zdQ1Hv6PY
최신 영상,[2026.6.21] 새가족 간증 - 강윤아 청년,https://www.youtube.com/watch?v=69fD6I1ViOM
최신 영상,[2026.6.21] 새가족 간증 - 김고은 성도님,https://www.youtube.com/watch?v=n2hrOiOlpTk
최신 영상,[2026.6.21] 새가족 간증 - 이규택 집사님,https://www.youtube.com/watch?v=ipwZMILvj98
최신 영상,[2026.6.21] 새가족 간증 - 최영미 권사님,https://www.youtube.com/watch?v=kTKmjr34SPA
최신 영상,[2026.6.21] 새가족 간증 - 이수진 성도님,https://www.youtube.com/watch?v=4rRUJWZ57mM
최신 영상,하나님의 인장 반지 | 창41:37-44 | 인천성산교회:인천이단상담소 | 20260617수요예배,https://www.youtube.com/watch?v=5yjPviCFpQo
최신 영상,2026년 성산 가족 수양회 홍보영상 l 인천성산교회 인천이단상담소 l 20260621,https://www.youtube.com/watch?v=oZH3zQ_hNbY
최신 영상,[2026 6대 임직] 권사 취임 기도,https://www.youtube.com/watch?v=22ubkn95GrQ
최신 영상,[2026 6대 임직] 안수집사 임직 기도,https://www.youtube.com/watch?v=-0mU2UFAcVg
최신 영상,[2026 6대 임직] 장로 장립 기도,https://www.youtube.com/watch?v=c1B0kbh7xQA
최신 영상,영생을 얻은 성도 l 요10:25~29 l 인천성산교회 인천이단상담소 l 20260607 주일대예배,https://www.youtube.com/watch?v=QofWHPIWvME
최신 영상,계시의 원리 | 창41:16-36 | 인천성산교회:인천이단상담소 | 20260603수요예배,https://www.youtube.com/watch?v=yr5DvarqMRc
최신 영상,영접의 의미와 권세 l 요1:12~13 l 인천성산교회 인천이단상담소 l 20260531 주일대예배,https://www.youtube.com/watch?v=RsliZpWOi3A
최신 영상,절제대목장 - 너와 나의 모습이 l 인천성산교회 인천이단상담소 l 20260531,https://www.youtube.com/watch?v=Y20wGftVF6g
최신 영상,절제대목장 - 요셉의 하나님 l 인천성산교회 인천이단상담소 l 20260531,https://www.youtube.com/watch?v=8tIO7scRcts
최신 영상,"꿈을 이루시는 섭리 | 창40:14, 18-23, 41:1 | 인천성산교회:인천이단상담소 | 20260527수요예배",https://www.youtube.com/watch?v=U-I-LhUuIsQ
최신 영상,보혜사의 약속 l 요14:16~18 l 인천성산교회 인천이단상담소 l 20260524 주일대예배,https://www.youtube.com/watch?v=okxpEI935Z0
최신 영상,양선대목장 - 서창동 걸을 때 l 인천성산교회 인천이단상담소 l 20260524,https://www.youtube.com/watch?v=idQ4tsyG8QM
최신 영상,꿈의 해석 | 창40:5-8 | 인천성산교회:인천이단상담소 | 20260520수요예배,https://www.youtube.com/watch?v=wLdF1njWqck
최신 영상,복음으로 세워지고 성장하는 교회 l 골1:1~14 l 인천성산교회 인천이단상담소 l 20260517 주일대예배,https://www.youtube.com/watch?v=ZuNtmJKOVfY
최신 영상,양선대목장 - 겸손 l 인천성산교회 인천이단상담소 l 20260524,https://www.youtube.com/watch?v=6GuMpFtptsM
최신 영상,온유대목장 - 형통하리라 l 인천성산교회 인천이단상담소 l 20260426,https://www.youtube.com/watch?v=ONnYIB8K3Zk
최신 영상,온유대목장 - 한 사람 l 인천성산교회 인천이단상담소 l 20260426,https://www.youtube.com/watch?v=POnE7IIeGJk
최신 영상,충성대목장 - 주 사랑이 내게 들어와 l 인천성산교회 인천이단상담소 l 20260419,https://www.youtube.com/watch?v=n_G5UDf3XP4
최신 영상,충성대목장 - 주 예수 내 맘에 들어와 l 인천성산교회 인천이단상담소 l 20260419,https://www.youtube.com/watch?v=zYTipJh-Q9Q
최신 영상,인내대목장 - 내 평생 사는 동안+호산나 l 인천성산교회 인천이단상담소 l 20260329,https://www.youtube.com/watch?v=_O73MMKhiA8
최신 영상,인내대목장 - 생명 주께 있네 l 인천성산교회 인천이단상담소 l 20260329,https://www.youtube.com/watch?v=fPS7IncKREI
최신 영상,화평대목장 - 꿈쟁이 요셉 l 인천성산교회 인천이단상담소 l 20260322,https://www.youtube.com/watch?v=EHT-5y1YmxY
최신 영상,화평대목장 - 나의 등 뒤에서+주와 같이 길 가는 것 l 인천성산교회 인천이단상담소 l 20260322,https://www.youtube.com/watch?v=XCM_d5EYolY
최신 영상,희락대목장 - 기뻐하며 왕께 l 인천성산교회 인천이단상담소 l 20260315,https://www.youtube.com/watch?v=wBUL0U2XSGk
최신 영상,"희락대목장 - 나의 고백, 오직 주 l 인천성산교회 인천이단상담소 l 20260315",https://www.youtube.com/watch?v=AbRQLCIUnig
최신 영상,사랑대목장 - 주 예수 사랑 기쁨 + 하나님께서 날 사랑하시죠 l 인천성산교회 인천이단상담소 l 20260308,https://www.youtube.com/watch?v=BdwRWAL-748
최신 영상,사랑대목장 - 야곱의 축복 l 인천성산교회 인천이단상담소 l 20260308,https://www.youtube.com/watch?v=1U_a1dwZlrc
최신 영상,신중년 나들이 활동영상 l 인천성산교회 인천이단상담소 l 20260514,https://www.youtube.com/watch?v=tAP2pGqdQLY
최신 영상,[성산교회 30주년 기념영상] 여기까지 인도하신 에벤에셀의 하나님을 고백합니다,https://www.youtube.com/watch?v=G4euk23BTuI
최신 영상,하나님의 섭리 속에 있는 꿈 | 창40:9-15 | 인천성산교회:인천이단상담소 | 20260513수요예배,https://www.youtube.com/watch?v=JRPbwmf34zk
최신 영상,복음적인 가정 l 골3:18~21 l 인천성산교회 인천이단상담소 l 20260510 주일대예배,https://www.youtube.com/watch?v=nvw0i6izrRY
